id,visitor_id,page,time_spent,start_time
145,,Westside Story,10.292141,2023-05-26 11:43:24.312303
146,,HomePage,20.160986,2023-05-26 12:53:51.347649
147,,HomePage,9.260687,2023-05-26 13:04:42.584037
148,,HomePage,4.414513,2023-05-26 13:05:18.182945
149,,HomePage,22.952545,2023-05-26 13:05:49.385396
150,,HomePage,7.113923,2023-05-26 13:06:12.347131
151,,HomePage,30.529655,2023-05-26 13:06:19.464300
152,,HomePage,7.024304,2023-05-26 13:06:49.997223
153,,Westside Story,13.839363,2023-05-26 13:06:57.025824
154,,Tips,294.08478,2023-05-26 13:07:10.872563
155,,HomePage,8.401331,2023-05-26 13:12:04.963654
156,,HomePage,3.691217,2023-05-26 13:12:33.452758
157,,Tips,18.321638,2023-05-26 13:12:37.150982
158,,Road Rules,14.012463,2023-05-26 13:12:55.475636
159,,Tips,3.232475,2023-05-26 13:13:09.492429
160,,HomePage,13.857718,2023-05-26 13:14:35.827208
161,,HomePage,13.536824,2023-05-26 13:19:04.623510
162,,Tips,3.423984,2023-05-26 13:19:18.166944
163,,Rental,44.657151,2023-05-26 13:19:21.593661
164,,HomePage,67.030814,2023-05-26 13:20:16.699640
165,,HomePage,44.575151,2023-05-26 13:21:23.736813
166,,HomePage,7.381573,2023-05-26 13:22:08.316278
167,,HomePage,16.395978,2023-05-26 13:22:15.701143
168,,Westside Story,10.031625,2023-05-26 13:22:32.100653
169,,Rental,47.023455,2023-05-26 13:22:42.135178
170,,Westside Story,19.912977,2023-05-26 13:23:29.162994
171,,Westside Story,5.906764,2023-05-26 13:23:49.079799
172,,HomePage,4.169365,2023-05-26 13:24:28.337664
173,,Westside Story,8.780747,2023-05-26 13:24:32.513238
174,,Westside Story,7.885323,2023-05-26 13:24:41.297451
175,,Westside Story,5.486283,2023-05-26 13:24:49.187047
176,,Westside Story,10.69533,2023-05-26 13:24:54.684018
177,,Westside Story,5.70936,2023-05-26 13:25:05.382418
178,,Westside Story,3.722873,2023-05-26 13:25:11.094756
179,,Road Rules,4.416053,2023-05-26 13:25:14.820689
180,,Tips,13.468051,2023-05-26 13:25:19.239271
181,,Westside Story,6.344079,2023-05-26 13:25:32.710133
182,,Westside Story,16.126137,2023-05-26 13:25:39.057407
183,,Westside Story,9.859258,2023-05-26 13:25:55.186935
184,,Westside Story,5.471064,2023-05-26 13:26:05.052037
185,,Westside Story,5.96193,2023-05-26 13:26:10.526208
186,,Westside Story,26.237922,2023-05-26 13:26:16.491216
187,,Westside Story,6.49367,2023-05-26 13:26:42.732362
188,,Westside Story,3.726202,2023-05-26 13:26:49.229454
189,,Westside Story,11.710052,2023-05-26 13:26:52.958830
190,,Westside Story,12.604602,2023-05-26 13:27:04.671954
191,,Westside Story,5.92008,2023-05-26 13:27:17.279246
192,,Westside Story,5.350812,2023-05-26 13:27:57.617969
193,,Road Rules,3.6427,2023-05-26 13:28:02.974366
194,,Rental,20.953995,2023-05-26 13:28:06.619642
195,,Road Rules,4.32183,2023-05-26 13:28:27.576683
196,,HomePage,3.543106,2023-05-26 13:29:12.699256
197,,Rental,113.879241,2023-05-26 13:29:35.574344
198,,HomePage,7.955389,2023-05-26 13:31:29.461376
199,,Tips,49.215775,2023-05-26 13:31:37.419593
200,,Westside Story,232.931789,2023-05-26 13:32:26.640746
201,,Tips,16.772517,2023-05-26 13:36:19.576596
202,,HomePage,4.548317,2023-05-26 13:37:36.460572
203,,HomePage,6.957707,2023-05-26 13:38:14.244505
204,,HomePage,4.662198,2023-05-26 13:38:44.943337
205,,Tips,9.06726,2023-05-26 13:38:49.611079
206,,Tips,17.682454,2023-05-26 13:38:58.681309
207,,HomePage,19.425011,2023-05-26 13:45:28.122687
208,,HomePage,4.399463,2023-05-26 13:47:04.720040
209,,Westside Story,9.725408,2023-05-26 13:47:09.126941
210,,HomePage,3.293816,2023-05-26 13:47:56.457752
